date | value
1999-01-01 | 10
2000-01-03
2001-42-42
2001-42-42 | 3
2009-12-12 ; 3
2010-01-02 | -1
2010-01-03 | 1.1.1
2010-01-04 | 2147483648
201-01-04 | 31
2010/01/03 | 123
2011-01-02 | 5.5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2011-01-11 | 0003
2011-01-11 | 1
2011-01-15 | 6
2011-01-17 | 7
2011-01-24 | 1 
2011-02-06 | 1.7
2011-02-14 | 2.1
2011-02-17 | 2.6
2011-02-28 | 16
2011-03-14 | 1.52
2011-03-22 | 1.11
2011-04-12 | 3
2011-04-19 | 2
2011-04-28 | 5
2011-05-01 | 1.73
2011-05-07 | 4
2011-05-14 | 14
2011-05-26 | 18
2011-06-01 | 2
2011-06-03 | 3
2011-06-12 | 2
2011-06-15 | 1
2011-06-21 | 6
2011-06-26 | 3
2011-07-01 | 1
2011-07-02 | 2
2011-07-09 | 4
2011-07-10 | 3
2011-07-14 | 6
2011-07-19 | 11
2011-07-29 | 4
2011-08-11 | 1
2011-08-14 | 3
2011-08-21 | 2
2011-08-24 | 91
2011-08-27 | 16
2011-08-30 | 20
2011-09-10 | 9
2011-09-21 | 11
2011-09-25 | 15
2011-09-27 | 17
2011-10-03 | 3
2011-10-05 | 2
2011-10-08 | 11
2011-10-13 | 1.921
2011-10-15 | 2.3
2011-10-19 | 4.5
2011-10-21 | 2.1
2011-10-24 | 4
2011-10-26 | 2
2011-10-28 | 3
2011-11-01 | 6
2011-11-04 | 12
2011-11-07 | 1
2011-11-10 | 22
2011-11-15 | 11
2011-11-17 | 5
2011-11-25 | 12
2011-11-29 | 2.4
2011-12-04 | 4
2011-12-06 | 1
2011-12-07 | 2.5
2011-12-12 | 4.2
2011-12-15 | 13
2011-12-21 | 15
2011-12-30 | 7.4
